date,horizon,target,actual,naive,arima,var
2016-12-01,3,unrate,4.6,4.7,4.693287824037621,4.599390761445837
2016-12-01,6,infl_yoy,1.856343166761976,1.6843334719788938,1.947958170949372,2.233110844819957
2016-12-01,6,unrate,4.4,4.7,4.681957329670157,4.451584995876534
2017-01-01,1,infl_yoy,2.510393348257112,2.0507989115119862,2.2527331543253943,2.285812762228655
2017-01-01,1,unrate,4.7,4.7,4.686350568664413,4.661962345384593
2017-01-01,3,infl_yoy,2.44119623655914,2.0507989115119862,2.2934605645591564,2.383688884531921
2017-01-01,3,unrate,4.4,4.7,4.664903936905351,4.540109816500116
2017-01-01,6,infl_yoy,1.640565809959127,2.0507989115119862,2.2929001619481286,2.524041439731741
2017-01-01,6,unrate,4.3,4.7,4.662682716896843,4.414572908742754
2017-02-01,1,infl_yoy,2.8103616813294208,2.510393348257112,2.659453587070855,2.6633202257053004
2017-02-01,1,unrate,4.6,4.7,4.684528000339446,4.636737671434259
2017-02-01,3,infl_yoy,2.176223471915395,2.510393348257112,2.598766636106801,2.709250479297828
2017-02-01,3,unrate,4.4,4.7,4.671506343308892,4.519062757989123
2017-02-01,6,infl_yoy,1.7251073506566073,2.510393348257112,2.4985458054710885,2.685856698152155
2017-02-01,6,unrate,4.3,4.7,4.680244211082595,4.428537169029304
2017-03-01,1,infl_yoy,2.44119623655914,2.8103616813294208,2.856730389042948,2.8750242499916014
2017-03-01,1,unrate,4.4,4.6,4.595200242590996,4.531939242284064
2017-03-01,3,infl_yoy,1.856343166761976,2.8103616813294208,2.739602389274468,2.8968127570754016
2017-03-01,3,unrate,4.4,4.6,4.569153055021399,4.433894577766761
2017-03-01,6,infl_yoy,1.92812155729698,2.8103616813294208,2.593618632563406,2.827875596131481
2017-03-01,6,unrate,4.4,4.6,4.56104030597221,4.340111902766023
2017-04-01,1,infl_yoy,2.176223471915395,2.44119623655914,2.2137748950620475,2.2804048123225833
2017-04-01,1,unrate,4.4,4.4,4.378018793240958,4.357289341154324
2017-04-01,3,infl_yoy,1.640565809959127,2.44119623655914,2.191700402036499,2.4367335950980937
2017-04-01,3,unrate,4.3,4.4,4.311229596603534,4.2620873017947645
2017-04-01,6,infl_yoy,2.1805652303711787,2.44119623655914,2.226037869000077,2.5795575062928044
2017-04-01,6,unrate,4.3,4.4,4.256629825007709,4.156920295347741
2017-05-01,1,infl_yoy,1.856343166761976,2.176223471915395,2.1234095984301,2.1959918431354413
2017-05-01,1,unrate,4.4,4.4,4.362740294567152,4.351559124900968
2017-05-01,3,infl_yoy,1.7251073506566073,2.176223471915395,2.1603639181378216,2.3430269111449586
2017-05-01,3,unrate,4.3,4.4,4.3077458172157295,4.260269119995258
2017-05-01,6,infl_yoy,2.020757753132485,2.176223471915395,2.2049004816609545,2.5055414767553854
2017-05-01,6,unrate,4.2,4.4,4.264862255184564,4.216783614087369
2017-06-01,1,infl_yoy,1.640565809959127,1.856343166761976,1.7623104676157773,1.8337770449033672
2017-06-01,1,unrate,4.3,4.4,4.368155469004288,4.372981579835415
2017-06-01,3,infl_yoy,1.92812155729698,1.856343166761976,1.861119606376679,2.017831040597362
2017-06-01,3,unrate,4.4,4.4,4.333951339284808,4.318491446633592
2017-06-01,6,infl_yoy,2.172493864295566,1.856343166761976,2.004142867939173,2.230255420552333
2017-06-01,6,unrate,4.2,4.4,4.319408721247068,4.315251255853577
2017-07-01,1,infl_yoy,1.7251073506566073,1.640565809959127,1.6257273553469564,1.6307939437609555
2017-07-01,1,unrate,4.3,4.3,4.282853936751942,4.262661316039604
2017-07-01,3,infl_yoy,2.1805652303711787,1.640565809959127,1.7708850285533235,1.8938969993922081
2017-07-01,3,unrate,4.3,4.3,4.239871755145531,4.243660268803517
2017-07-01,6,infl_yoy,2.129930719552253,1.640565809959127,1.942672864336153,2.1818065323493716
